,Biden_2020,Total_2020,Other_2020,Perc_Other_2020,Perc_Biden_2020,age_over_18_2019,age_over_65_2019,asian_2019,avg_family_size_2019,bachelors_2019,black_2019,hispanic_2019,households_speak_limited_english_2019,hs_grad_2019,median_age_2019,native_2019,other_single_race_2019,pac_isl_2019,per_capita_income_2019,pop_2019,two_plus_races_2019,unemployment_rate_2019,uninsured_2019,veterans_2019,white_2019,white_not_hispanic_2019,Winner_2020
214,11230,29787,881,0.029576660959478973,0.377010105079397,72.4,12.3,6.8,3.38,17.1,3.4,28.2,4.1,82.3,32.8,1.2,4.7,0.5,25583,76360,7.4,6.7,7.2,10.9,76.0,55.2,Trump
215,134202,236735,6876,0.02904513485542909,0.5668870255771221,73.0,10.1,4.0,3.56,24.3,3.4,40.0,5.2,83.8,33.8,1.1,5.6,0.1,30313,504108,4.3,3.5,10.1,7.3,81.6,50.0,Biden
216,3759,7808,236,0.030225409836065587,0.4814293032786885,75.6,13.2,1.3,3.09,25.0,0.9,46.8,5.2,86.9,31.8,3.3,4.9,0.5,22131,16107,2.7,9.3,12.2,6.5,86.4,47.6,Trump
217,213607,350183,9253,0.026423327231761717,0.60998677834161,76.2,12.7,6.0,3.26,42.8,10.8,19.2,4.4,92.6,36.6,0.7,6.2,0.2,40443,644560,4.5,3.7,7.7,8.0,71.5,60.3,Biden
218,3738,9144,217,0.023731408573928414,0.4087926509186351,82.6,25.5,1.0,2.73,37.2,1.7,18.4,0.3,92.3,50.9,1.4,10.3,0.1,31629,13253,1.5,4.3,10.7,11.5,84.0,76.3,Trump
219,317,2225,41,0.018426966292134916,0.1424719101123595,79.0,26.0,0.0,2.59,21.4,1.0,11.0,2.6,86.2,46.0,1.6,0.8,0.1,24061,3561,2.3,2.3,6.8,8.0,94.3,84.8,Trump
220,732,2274,39,0.01715039577836419,0.3218997361477572,84.8,17.9,0.2,2.81,11.4,4.1,32.1,1.6,84.8,40.2,1.0,1.9,0.0,13930,5787,1.4,5.3,8.8,8.7,91.4,63.4,Trump
221,159089,206111,4521,0.021934782714168627,0.7718607934559534,80.6,13.7,4.7,3.01,62.1,0.9,13.9,1.8,95.0,36.6,0.4,1.8,0.1,46826,322510,3.0,3.8,4.6,5.3,89.0,77.6,Biden
222,29077,46632,1260,0.027020072053525412,0.6235417738891749,76.8,13.3,6.5,3.01,55.7,1.3,12.4,1.6,96.9,37.8,0.4,1.9,0.0,50863,67886,3.6,3.1,4.3,8.0,86.3,76.8,Biden
223,7160,13717,335,0.024422249763067727,0.521980024786761,84.9,25.0,1.5,2.71,33.8,1.7,10.0,0.7,93.5,49.2,0.5,0.8,0.0,29827,19557,1.9,3.0,10.0,10.6,93.7,84.9,Biden
224,131,1136,12,0.010563380281690127,0.1153169014084507,70.0,16.5,2.2,3.43,19.2,0.1,17.1,0.0,91.6,39.4,0.1,0.0,0.2,29081,2026,3.9,8.3,11.7,7.5,93.5,77.8,Trump
225,3604,6548,190,0.02901649358582775,0.550397067806964,84.1,19.4,1.0,2.69,48.1,1.2,7.0,1.5,98.6,48.1,0.3,0.0,0.1,39203,9495,3.2,3.4,9.9,7.9,94.2,88.7,Biden
226,1959,4333,88,0.02030925455804289,0.4521117009000692,73.4,18.6,0.2,3.36,21.0,0.5,52.4,5.1,88.0,38.8,2.5,5.1,0.3,20640,8128,2.6,9.6,10.5,9.1,88.8,44.6,Trump
227,1311,2094,42,0.020057306590257895,0.6260744985673352,81.7,27.3,1.3,2.8,19.3,0.4,61.9,12.2,81.0,51.9,2.1,3.9,0.0,21732,3745,4.0,9.4,11.5,13.3,88.4,33.4,Biden
228,437,1750,42,0.02400000000000002,0.2497142857142857,87.7,13.4,0.6,4.6,9.0,3.5,31.9,1.7,86.1,35.4,1.4,1.1,0.0,15517,5754,4.8,13.3,6.2,8.7,88.6,61.5,Trump
229,1112,3634,48,0.013208585580627541,0.3059988992845349,85.0,36.0,0.0,2.6,32.5,2.9,9.2,3.0,93.6,59.7,0.9,0.8,0.0,29258,4776,2.4,7.2,16.2,17.7,93.0,85.2,Trump
230,5887,19370,402,0.02075374290139398,0.3039235931853381,80.1,25.3,1.1,3.08,21.7,1.2,15.2,1.2,90.7,47.3,0.9,0.9,0.0,26499,30565,1.5,5.7,8.5,12.4,94.4,81.3,Trump
231,313293,393827,8916,0.022639382266832903,0.7955091956620547,80.2,11.5,3.7,3.17,49.4,9.2,29.9,4.6,88.0,34.5,0.9,6.1,0.2,43770,705576,3.8,3.6,9.3,5.2,76.1,54.2,Biden
232,341,1449,19,0.013112491373361013,0.2353347135955831,78.0,27.6,0.0,3.02,24.1,0.0,7.1,0.0,93.8,48.8,1.7,0.2,0.0,26323,1857,1.5,2.5,5.3,12.7,96.7,89.8,Trump
233,104653,231599,5676,0.024507877840577952,0.4518715538495416,73.4,11.4,4.8,3.16,58.0,1.5,8.7,0.9,98.1,38.7,0.4,1.5,0.1,53313,336041,3.0,2.5,2.8,8.2,88.9,82.2,Trump
234,18588,29140,660,0.022649279341111883,0.6378860672614962,78.1,10.7,0.7,3.27,47.2,1.2,29.6,5.9,88.3,37.0,0.2,7.2,0.1,44391,54681,1.8,2.0,13.5,4.7,88.9,67.2,Biden
235,4490,18983,466,0.02454828004003584,0.236527419269873,78.3,15.5,1.0,3.06,35.8,0.4,7.0,0.3,96.7,46.1,1.0,1.0,0.1,44690,25717,3.0,1.7,5.3,11.9,93.6,88.5,Trump
236,161941,378849,14080,0.03716520302284032,0.4274552658183075,75.7,12.5,2.8,3.17,38.5,6.4,17.1,1.7,94.2,34.2,0.8,4.1,0.4,33728,698974,6.0,5.2,7.2,16.9,79.6,69.1,Trump
237,7369,25557,671,0.02625503775873539,0.2883358766678405,84.2,21.2,0.7,2.54,18.5,4.6,13.3,0.3,90.1,45.1,1.4,1.3,0.0,22692,47321,2.2,4.2,6.9,13.7,89.8,79.1,Trump
